#{"t_start": 1589058354.668272, "env_id": null}
r,l,t
9,20,3.037692
9,20,3.34182
9,20,3.640056
9,20,3.941912
8,21,4.246257
8,21,4.543808
9,20,4.841047
9,20,5.142914
1,12,5.303878
9,20,5.603604
9,20,5.904578
9,20,6.201683
-7,4,6.254502
8,21,6.552381
8,21,6.852264
8,21,7.168607
7,20,7.457465
9,20,7.776918
8,21,8.098832
9,20,8.40007
9,20,8.71763
9,20,9.015286
9,20,9.312991
-1,10,9.440304
9,20,9.73908
9,20,10.038187
8,21,10.386842
8,21,10.686218
8,21,10.989356
9,20,11.290508
9,20,11.59453
9,20,11.894129
9,20,12.19141
9,20,12.489487
9,20,12.787546
9,20,13.083521
9,20,13.379707
9,20,13.678443
9,20,13.974182
9,20,14.269796
8,21,14.571557
7,22,14.869593
9,20,15.165718
8,21,15.464712
9,20,15.762437
9,20,16.058883
8,21,16.367059
9,20,16.660284
8,21,16.961878
9,20,17.257474
8,21,17.568046
9,20,17.864372
8,21,18.160509
9,20,18.456909
9,20,18.752351
9,20,19.049561
9,20,19.34703
9,20,19.642834
-2,9,19.772622
9,20,20.069485
9,20,20.366003
9,20,20.662152
7,22,20.96478
7,22,21.267017
8,21,21.564121
7,22,21.861648
9,20,22.160591
9,20,22.457118
-2,9,22.571329
9,20,22.866949
8,21,23.182676
9,20,23.478524
9,20,23.776509
8,21,24.072789
8,21,24.373804
9,20,24.669441
9,20,24.969945
7,22,25.268301
-9,2,25.29863
9,20,25.596048
9,20,25.892282
8,21,26.194332
9,20,26.490926
9,20,26.786764
9,20,27.082593
9,20,27.379333
7,22,27.676676
8,21,27.976035
9,20,28.271251
8,21,28.566856
9,20,28.864495
9,20,29.161457
9,20,29.464132
9,20,29.775185
8,21,30.090455
9,20,30.389384
8,21,30.685089
9,20,30.982653
9,20,31.280224
7,22,31.577212
8,21,31.874265
-4,7,31.964187
8,21,32.265338
9,20,32.56968
9,20,32.869602
9,20,33.166982
8,21,33.468659
9,20,33.765817
9,20,34.065013
9,20,34.361983
8,21,34.66231
9,20,34.958243
8,21,35.259659
9,20,35.559536
9,20,35.855964
6,19,36.108751
9,20,36.404763
9,20,36.699377
8,21,37.00103
6,21,37.298179
7,22,37.59785
9,20,37.892169
6,21,38.208076
8,21,38.510166
9,20,38.805774
9,20,39.10533
9,20,39.406748
6,21,39.683328
9,20,39.980101
8,21,40.28736
9,20,40.584962
8,21,40.882078
9,20,41.177103
9,20,41.477568
9,20,41.775859
-1,12,41.917086
9,20,42.213639
9,20,42.508925
8,21,42.806507
9,20,43.103682
8,21,43.402814
-9,2,43.432215
8,21,43.735549
9,20,44.03165
9,20,44.330727
9,20,44.62705
9,20,44.922488
8,21,45.219476
7,22,45.520002
9,20,45.815731
9,20,46.111332
8,21,46.411571
9,20,46.715505
1,14,46.900998
8,21,47.198456
9,20,47.493807
9,20,47.789412
-3,8,47.89402
9,20,48.189575
9,20,48.485828
9,20,48.784346
9,20,49.078795
9,20,49.375203
9,20,49.673474
7,22,49.970093
9,20,50.265215
9,20,50.561488
8,19,50.834253
9,20,51.129249
9,20,51.42631
9,20,51.722707
9,20,52.018016
9,20,52.31393
9,20,52.611531
8,21,52.907213
9,20,53.203309
9,20,53.499196
8,21,53.802264
9,20,54.1017
9,20,54.400951
9,20,54.69765
9,20,54.993345
8,21,55.291624
9,20,55.588624
9,20,55.885894
9,20,56.183191
7,22,56.481847
9,20,56.777156
9,20,57.074091
9,20,57.37126
9,20,57.666077
9,20,57.962773
9,20,58.260374
8,21,58.556485
7,22,58.856974
8,21,59.154366
9,20,59.450081
9,20,59.745557
9,20,60.042083
9,20,60.336726
9,20,60.631714
6,21,60.915663
8,21,61.217427
9,20,61.53515
-3,10,61.660688
7,22,61.961807
9,20,62.257346
8,21,62.56889
9,20,62.865257
9,20,63.163826
9,20,63.466402
9,20,63.767629
8,21,64.0686
7,20,64.365486
8,21,64.66259
8,21,64.96645
9,20,65.263598
9,20,65.56288
9,20,65.85921
9,20,66.154866
9,20,66.451509
1,12,66.603037
9,20,66.900529
9,20,67.20131
9,20,67.501506
9,20,67.830651
9,20,68.129154
9,20,68.427387
9,20,68.726986
9,20,69.025459
9,20,69.322971
9,20,69.618839
-1,10,69.752075
9,20,70.047577
8,21,70.344148
9,20,70.641043
8,21,70.941089
9,20,71.2629
9,20,71.564487
9,20,71.866359
4,23,72.173985
8,21,72.476673
8,21,72.772923
9,20,73.070606
9,20,73.365729
9,20,73.661565
7,22,73.963907
9,20,74.259405
9,20,74.556408
9,20,74.853103
8,21,75.15001
9,20,75.446755
9,20,75.744192
8,21,76.057886
9,20,76.359697
8,21,76.659002
9,20,76.958876
9,20,77.255558
9,20,77.553012
8,21,77.856741
9,20,78.15385
9,20,78.45097
8,21,78.748405
8,21,79.056119
8,21,79.353323
8,21,79.649818
8,21,79.95327
9,20,80.249438
-3,8,80.349955
9,20,80.647427
8,21,80.948825
9,20,81.248078
9,20,81.545954
8,19,81.826317
9,20,82.124892
8,21,82.422
9,20,82.719813
9,20,83.016222
9,20,83.327936
9,20,83.627805
9,20,83.925444
9,20,84.221125
8,21,84.521577
8,21,84.841937
9,20,85.138306
7,20,85.435382
9,20,85.734018
7,22,86.032615
9,20,86.333608
9,20,86.631491
9,20,86.926815
8,21,87.22567
9,20,87.521298
3,14,87.707053
8,21,88.002868
9,20,88.297996
9,20,88.598127
8,21,88.89989
8,21,89.201398
6,17,89.440932
8,19,89.751384
7,20,90.031036
9,20,90.331127
9,20,90.632506
9,20,90.930504
8,21,91.229727
9,20,91.526836
5,22,91.847929
9,20,92.144267
9,20,92.443942
6,17,92.680166
6,17,92.930292
5,20,93.217414
8,19,93.505364
9,20,93.81322
7,20,94.128399
7,20,94.431364
9,20,94.772196
8,21,95.115088
9,20,95.444519
9,20,95.767333
8,21,96.092018
8,21,96.400509
9,20,96.695976
9,20,96.998801
9,20,97.30199
8,21,97.599797
7,22,97.897253
9,20,98.194496
9,20,98.491406
9,20,98.786619
9,20,99.081539
8,21,99.381534
7,20,99.675949
9,20,99.970559
8,19,100.239919
-2,9,100.353651
9,20,100.649622
9,20,100.943473
-3,8,101.042827
9,20,101.354563
8,21,101.650403
7,18,101.90533
6,21,102.184761
8,21,102.482287
8,19,102.758524
9,20,103.053903
9,20,103.350758
9,20,103.644392
9,20,103.938674
9,20,104.235216
7,22,104.532011
7,20,104.828224
9,20,105.123466
8,21,105.424067
9,20,105.723985
9,20,106.018382
7,22,106.323463
8,21,106.619238
9,20,106.916158
9,20,107.209347
8,21,107.5081
8,21,107.803896
7,22,108.104234
9,20,108.399456
9,20,108.694601
8,21,108.997811
9,20,109.292206
9,20,109.59052
9,20,109.887278
9,20,110.182107
7,20,110.458124
8,21,110.754099
9,20,111.048939
9,20,111.346363
7,18,111.60687
8,21,111.904035
9,20,112.19806
9,20,112.494317
9,20,112.794384
9,20,113.089503
9,20,113.385606
7,22,113.682083
9,20,113.977986
9,20,114.271917
9,20,114.56581
9,20,114.860407
8,21,115.160002
8,21,115.456927
9,20,115.754112
9,20,116.050571
7,20,116.330322
9,20,116.625616
9,20,116.920446
9,20,117.216299
8,21,117.518501
9,20,117.817067
6,19,118.093723
8,19,118.373928
8,21,118.672172
9,20,118.968503
