#{"t_start": 1589046328.0579042, "env_id": null}
r,l,t
-15,23,0.91991
-20,26,1.040482
-16,21,1.164422
-17,8,1.216769
-21,18,1.329559
-14,17,1.456907
-17,18,1.57949
-16,17,1.669391
-24,29,1.852958
-23,27,2.051447
-19,18,2.192991
-13,14,2.302935
-10,9,2.394237
-9,10,2.492424
-14,11,2.572329
-24,29,2.707266
-30,29,2.829791
-14,15,2.934149
-15,25,3.140819
-9,18,3.300711
-15,16,3.411259
-11,8,3.49551
-12,11,3.564773
-21,21,3.694735
-14,11,3.772671
-27,29,3.928085
-34,43,4.17371
-25,26,4.327426
-28,38,4.565308
-16,15,4.664396
-19,17,4.787275
-12,11,4.875011
-15,18,4.988972
-22,27,5.194288
-20,23,5.309908
-10,3,5.344423
-21,22,5.472379
-32,39,5.634575
-21,16,5.734998
-17,23,5.872108
-9,10,5.972342
-14,11,6.046219
-16,9,6.112535
-23,28,6.257903
-12,17,6.368847
-18,23,6.514156
-17,18,6.639418
-10,7,6.708219
-22,29,6.883524
-12,7,6.92656
-23,24,7.079114
-32,46,7.420654
-26,32,7.585014
-13,8,7.656972
-10,7,7.708169
-18,13,7.777171
-19,14,7.854775
-28,42,8.083159
-15,22,8.229627
-13,12,8.290791
-19,32,8.480075
-10,9,8.54625
-15,14,8.652495
-13,18,8.784141
-12,7,8.838764
-12,5,8.872029
-12,11,8.954807
-11,10,9.031063
-19,14,9.118802
-19,12,9.174558
-15,22,9.349868
-11,4,9.393988
-21,14,9.476258
-9,4,9.518777
-13,12,9.601665
-13,4,9.640094
-14,30,9.868776
-16,13,9.959964
-18,21,10.093788
-26,43,10.366457
-14,9,10.433084
-14,11,10.510263
-21,18,10.585862
-12,16,10.694987
-21,16,10.801776
-10,16,10.90584
-16,16,11.01028
-19,16,11.094315
-16,20,11.232436
-15,12,11.307546
-13,12,11.384879
-10,3,11.416436
-22,28,11.555256
-17,22,11.718515
-23,28,11.861102
-12,13,11.954528
-16,21,12.090034
-12,11,12.188194
-21,16,12.256384
-13,16,12.347847
-17,24,12.49504
-14,18,12.611865
-22,27,12.743971
-16,17,12.87324
-21,35,13.055248
-25,24,13.162849
-10,5,13.211166
-27,32,13.408726
-17,10,13.480571
-13,8,13.532675
-17,16,13.623941
-40,51,13.856488
-12,11,13.939853
-35,40,14.155915
-15,14,14.244616
-16,11,14.335234
-22,28,14.512737
-16,19,14.639693
-11,15,14.812055
-21,18,14.891576
-14,12,14.971268
-12,3,15.02135
-20,29,15.19687
-24,29,15.369097
-12,11,15.445607
-14,11,15.509434
-13,12,15.588093
-14,11,15.650219
-12,7,15.717436
-19,29,15.880331
-13,8,15.948234
-29,34,16.15826
-26,21,16.241024
-11,8,16.303246
-19,20,16.442013
-32,43,16.712303
-17,23,16.872643
-24,25,16.992986
-22,17,17.075661
-19,20,17.212742
-10,3,17.243076
-14,13,17.320556
-13,14,17.430413
-8,9,17.517416
-14,11,17.583577
-18,23,17.736482
-12,9,17.81069
-14,16,17.921513
-19,12,17.99982
-20,21,18.154446
-20,15,18.232474
-19,20,18.379257
-24,27,18.522979
-8,3,18.563106
-12,17,18.676524
-18,15,18.778332
-15,18,18.880121
-8,3,18.923053
-12,9,18.996648
-14,9,19.040481
-11,6,19.090952
-24,24,19.250164
-18,13,19.32704
-12,15,19.428797
-15,14,19.537385
-15,13,19.625333
-21,33,19.845666
-38,48,20.133437
-19,18,20.238057
-20,19,20.334352
-13,10,20.397227
-11,8,20.470345
-29,34,20.672437
-24,25,20.814286
-14,15,20.922815
-21,20,21.038918
-30,31,21.169701
-23,22,21.354519
-13,8,21.401692
-12,7,21.480415
-17,20,21.621271
-10,5,21.673427
-20,21,21.849176
-32,46,22.11944
-19,16,22.215477
-11,10,22.285803
-16,7,22.336636
-9,12,22.434403
-15,12,22.500789
-14,22,22.647469
-17,19,22.764307
-25,31,22.934123
-14,11,23.009696
-15,10,23.067087
-16,15,23.14719
-12,3,23.192534
-27,18,23.255389
-16,17,23.412962
-20,23,23.560735
-26,30,23.703192
-10,11,23.780679
-21,22,23.893781
-27,26,24.022175
-21,23,24.139265
-16,17,24.244507
-16,13,24.339464
-19,20,24.464543
-15,6,24.504811
-23,24,24.61509
-15,14,24.709472
-18,19,24.843588
-26,21,24.924735
-10,7,24.99796
-8,3,25.039925
-12,7,25.103219
-36,44,25.325667
-19,16,25.39484
-19,19,25.533995
-14,13,25.618482
-17,18,25.732934
-20,23,25.842233
-11,16,25.967631
-12,5,26.007156
-11,6,26.047892
-22,25,26.229919
-8,7,26.298578
-20,28,26.494783
-14,9,26.558269
-18,27,26.716376
-16,11,26.772285
-24,27,26.914817
-18,15,27.016139
-11,18,27.155089
-10,9,27.241211
-16,15,27.338792
-21,16,27.422158
-21,22,27.524574
-16,15,27.604829
-10,5,27.659156
-29,32,27.800632
-13,6,27.860816
-19,21,27.963959
-10,7,28.025093
-23,28,28.213963
-16,17,28.295987
-23,26,28.494164
-25,26,28.66476
-17,18,28.802277
-13,6,28.851173
-20,20,28.948421
-17,8,29.000521
-19,23,29.166773
-19,24,29.319558
-9,6,29.392101
-22,29,29.521991
-25,20,29.619456
-13,16,29.756657
-20,21,29.902395
-15,8,29.952646
-20,23,30.08677
-18,27,30.270985
-19,20,30.382771
-15,8,30.425129
-18,17,30.51671
-15,17,30.642086
-12,7,30.704616
-11,6,30.75464
-23,24,30.88602
-26,31,31.063569
-21,22,31.207128
-28,30,31.313789
-15,12,31.399779
-20,13,31.459972
-16,11,31.542735
-22,51,31.841253
-9,6,31.903949
-18,27,32.070517
-19,28,32.307525
-9,10,32.386673
-19,19,32.492657
-20,20,32.622174
-10,13,32.726987
-14,13,32.816615
-8,7,32.876111
-20,23,33.004993
-16,19,33.158206
-23,22,33.275983
-24,27,33.41456
-18,15,33.50004
-10,3,33.538549
-16,19,33.653932
-19,18,33.763476
-21,25,33.944536
-22,23,34.056801
-16,13,34.135655
-24,28,34.271481
-20,16,34.379391
-10,5,34.440743
-19,19,34.534452
-17,10,34.613789
-16,17,34.723447
-16,7,34.768107
-14,15,34.875667
-12,7,34.936799
-21,35,35.141268
-16,17,35.242516
-18,13,35.334718
-16,27,35.517407
-18,26,35.674986
-19,20,35.839934
-16,11,35.96412
-11,8,36.03117
-14,15,36.16403
-18,15,36.222445
-26,33,36.46924
-19,27,36.648227
-20,16,36.776795
-16,9,36.842004
-17,21,36.965729
-14,11,37.043144
-12,5,37.088828
-11,12,37.197911
-24,26,37.350969
-15,8,37.416389
-10,7,37.489661
-20,19,37.569181
-23,22,37.687468
-10,3,37.718109
-25,28,37.836655
-14,13,37.932121
-14,7,37.986107
-17,21,38.109266
-27,32,38.253465
-19,20,38.395935
-10,11,38.498729
-12,3,38.538334
-30,38,38.744653
-13,12,38.819696
-12,13,38.914581
-16,11,38.991105
-20,17,39.099506
-15,26,39.285593
-12,5,39.338579
-14,9,39.403619
-9,7,39.481082
-7,10,39.567811
-24,25,39.702377
-18,20,39.845028
-30,27,39.975431
-32,39,40.196432
-24,23,40.302334
-17,14,40.368515
-14,11,40.456583
-18,19,40.561194
-14,15,40.655687
-27,24,40.790348
-14,11,40.903801
-17,12,41.017473
-13,6,41.051625
-16,15,41.142492
-23,31,41.328791
-20,13,41.387465
-9,2,41.420464
-16,15,41.529933
-22,21,41.679816
-18,19,41.800137
-21,22,41.939933
-14,15,42.018509
-12,17,42.137457
-19,23,42.303612
-17,16,42.383995
-15,20,42.516556
-6,12,42.6173
-9,6,42.668957
-13,4,42.700054
-22,19,42.791591
-11,19,42.9326
-20,17,43.037219
-7,14,43.159443
-25,24,43.293799
-11,8,43.353273
-17,12,43.416856
-18,21,43.553554
-10,7,43.603333
-11,6,43.665424
-11,8,43.717646
-15,16,43.795837
-17,16,43.895649
-14,11,43.975182
-15,12,44.051052
-11,4,44.083197
-21,22,44.214913
-9,10,44.296375
-12,5,44.346585
-19,37,44.638459
-15,20,44.765848
-11,16,44.900292
-9,12,44.989662
-18,17,45.08524
-11,8,45.145531
-22,20,45.259479
-15,30,45.488306
-19,26,45.653505
-16,15,45.786779
-16,18,45.900248
-19,20,46.024693
-11,14,46.141837
-9,14,46.252158
-8,11,46.335299
-15,18,46.448541
-14,11,46.546293
-7,13,46.663379
-11,8,46.762321
-15,10,46.814256
-20,25,47.001509
-9,6,47.050596
-11,24,47.233683
-28,32,47.365716
-10,13,47.487474
-11,14,47.586438
-17,10,47.642642
-17,14,47.735107
-22,17,47.817253
-23,32,47.992131
-20,16,48.062532
-22,19,48.1397
-12,15,48.241121
-17,16,48.318991
-19,23,48.45095
-24,29,48.629753
-7,17,48.759354
-23,24,48.905642
-19,18,49.007648
-18,13,49.108695
-16,13,49.193748
-11,18,49.329491
-12,15,49.436658
-15,16,49.521078
-19,22,49.679666
-22,19,49.784091
-15,25,49.969556
-14,13,50.074626
-13,12,50.171708
-17,20,50.281887
-15,12,50.363695
-11,8,50.417159
-17,20,50.557419
-14,13,50.638555
-23,29,50.801481
-21,16,50.897431
-16,17,51.005577
-16,19,51.120509
-11,30,51.350394
-15,25,51.518682
-16,17,51.618717
-14,11,51.693061
-16,21,51.840994
-18,17,51.957036
-11,12,52.044736
-12,5,52.085418
-19,24,52.208576
-27,29,52.356796
-19,25,52.492161
-9,14,52.597675
-16,13,52.673557
-13,16,52.788173
-18,19,52.898819
-11,10,52.963824
-21,28,53.158641
-25,32,53.332023
