#{"t_start": 1589052117.7249138, "env_id": null}
r,l,t
26,51,3.470004
29,51,4.295554
32,51,5.141947
32,51,5.998116
32,51,6.858241
32,51,7.784193
29,51,8.659018
29,51,9.480841
32,51,10.330402
29,51,11.218207
29,51,12.143131
32,51,13.005539
32,51,13.878126
30,51,14.75591
32,51,15.636821
25,51,16.471528
30,51,17.353281
32,51,18.226065
30,51,19.089514
27,51,19.925368
32,51,20.772018
32,51,21.627895
29,51,22.468909
32,51,23.320273
30,51,24.15361
29,51,24.985958
32,51,25.845625
29,51,26.748925
-4,9,26.857079
30,51,27.689407
29,51,28.520504
26,51,29.304147
27,51,30.138508
29,51,30.96346
32,51,31.801478
27,51,32.599384
29,51,33.429791
32,51,34.27533
30,51,35.124146
32,51,35.961526
32,51,36.805534
24,51,37.598166
29,51,38.426838
32,51,39.269909
29,51,40.100098
32,51,40.93948
30,51,41.788428
32,51,42.632499
26,51,43.437056
29,51,44.268344
29,51,45.094141
29,51,45.899193
32,51,46.742843
29,51,47.568492
32,51,48.403236
29,51,49.228234
29,51,50.040339
32,51,50.883401
32,51,51.723248
32,51,52.567254
29,51,53.391559
32,51,54.22972
32,51,55.080809
32,51,55.916868
29,51,56.727936
28,51,57.542952
32,51,58.381707
32,51,59.239123
32,51,60.078846
29,51,60.908085
29,51,61.731742
29,51,62.557493
32,51,63.400804
27,51,64.212477
32,51,65.053801
32,51,65.890234
29,51,66.699719
29,51,67.527813
32,51,68.370456
32,51,69.213788
29,51,70.039165
32,51,70.880281
32,51,71.729864
32,51,72.567801
29,51,73.395638
29,51,74.223359
32,51,75.070481
32,51,75.915119
32,51,76.755821
32,51,77.608539
32,51,78.445754
29,51,79.25295
32,51,80.08808
32,51,80.925573
32,51,81.763764
32,51,82.601698
32,51,83.439453
32,51,84.284629
32,51,85.126543
29,51,85.953553
29,51,86.771927
32,51,87.609634
32,51,88.447559
29,51,89.262179
29,51,90.086275
32,51,90.926406
32,51,91.767976
32,51,92.61244
32,51,93.456344
32,51,94.306148
32,51,95.143075
32,51,95.980104
32,51,96.826579
32,51,97.667453
29,51,98.495218
32,51,99.325612
32,51,100.166605
29,51,100.994268
32,51,101.841127
32,51,102.681249
32,51,103.531077
29,51,104.358813
32,51,105.202651
29,51,106.025839
29,51,106.851148
32,51,107.690433
32,51,108.516621
32,51,109.361688
29,51,110.176078
32,51,111.015708
32,51,111.936645
32,51,112.777749
32,51,113.618054
32,51,114.464921
32,51,115.300444
32,51,116.135858
32,51,116.976312
32,51,117.818196
29,51,118.657754
32,51,119.511156
32,51,120.367019
29,51,121.178437
32,51,122.02404
26,51,122.802041
32,51,123.639867
29,51,124.46504
26,51,125.257463
29,51,126.091655
29,51,126.899244
32,51,127.739896
32,51,128.596419
29,51,129.41956
32,51,130.265568
29,51,131.073074
32,51,131.911122
32,51,132.751843
32,51,133.606809
29,51,134.464722
31,51,135.295891
29,51,136.121305
29,51,136.93281
29,51,137.756179
32,51,138.601313
32,51,139.445322
26,51,140.238823
25,51,141.030908
32,51,141.873108
29,51,142.705091
32,51,143.545855
29,51,144.372644
32,51,145.218632
29,51,146.044004
32,51,146.888518
32,51,147.725382
26,51,148.522457
32,51,149.361507
32,51,150.199793
29,51,151.039215
29,51,151.863493
29,51,152.68536
32,51,153.524111
29,51,154.3515
29,51,155.163786
29,51,155.987215
29,51,156.811035
29,51,157.63627
32,51,158.479838
28,51,159.324423
29,51,160.149959
32,51,160.994921
29,51,161.818487
32,51,162.658947
32,51,163.517722
32,51,164.360662
32,51,165.20452
32,51,166.040751
32,51,166.884948
29,51,167.701084
32,51,168.545437
32,51,169.390196
32,51,170.23334
29,51,171.066294
32,51,171.924006
29,51,172.73887
32,51,173.589163
30,51,174.427632
32,51,175.275579
32,51,176.118598
30,51,176.97089
30,51,177.818672
30,51,178.664673
32,51,179.508394
29,51,180.339996
29,51,181.150978
32,51,181.991374
32,51,182.846304
29,51,183.679812
32,51,184.525562
32,51,185.361207
26,51,186.156094
29,51,186.980203
27,51,187.794689
29,51,188.632277
29,51,189.467198
29,51,190.292994
29,51,191.116936
29,51,191.948407
32,51,192.790097
29,51,193.616597
32,51,194.465834
26,51,195.241256
29,51,196.050591
29,51,196.862649
32,51,197.703237
29,51,198.53068
32,51,199.378267
32,51,200.223376
32,51,201.074289
32,51,201.913902
29,51,202.741737
32,51,203.500373
32,51,204.33917
32,51,205.184467
32,51,206.024278
30,51,206.75687
32,51,207.594191
29,51,208.425684
29,51,209.267083
32,51,210.113375
29,51,210.93745
30,51,211.659894
29,51,212.467409
32,51,213.295144
32,51,214.137438
32,51,214.978785
32,51,215.827328
29,51,216.655244
29,51,217.486133
29,51,218.311631
32,51,219.149272
32,51,219.999327
31,51,220.840734
29,51,221.652192
29,51,222.483844
32,51,223.342654
29,51,224.182607
32,51,225.022636
32,51,225.871028
29,51,226.688919
32,51,227.528437
32,51,228.370316
29,51,229.178801
32,51,230.023189
30,51,230.859816
32,51,231.701056
32,51,232.542609
32,51,233.384426
32,51,234.226127
24,51,235.019582
32,51,235.860197
32,51,236.699767
32,51,237.538709
29,51,238.355503
32,51,239.216151
32,51,240.055257
26,51,240.862938
29,51,241.685999
29,51,242.516058
29,51,243.333553
29,51,244.158327
32,51,245.009389
32,51,245.847849
32,51,246.690009
32,51,247.521208
29,51,248.351574
32,51,249.191232
29,51,250.01932
29,51,250.848111
32,51,251.707227
29,51,252.517283
29,51,253.34164
29,51,254.167334
29,51,254.983492
32,51,255.826605
29,51,256.6556
29,51,257.480307
26,51,258.272631
32,51,259.12566
32,51,259.968791
32,51,260.808627
32,51,261.646121
32,51,262.48349
32,51,263.337956
32,51,264.179014
29,51,265.008069
32,51,265.843933
29,51,266.668201
29,51,267.499594
32,51,268.340933
32,51,269.183758
32,51,270.027195
32,51,270.877532
32,51,271.721368
32,51,272.56119
32,51,273.404441
32,51,274.24406
29,51,275.067929
29,51,275.900522
32,51,276.742944
29,51,277.56818
32,51,278.406736
29,51,279.221367
29,51,280.051181
