#{"t_start": 1580417242.5890837, "env_id": null}
r,l,t
-1,4,1.055257
-2,3,1.113888
-2,15,1.353785
-3,8,1.515778
1,8,1.66376
-1,8,1.796917
0,7,1.915241
2,7,2.016609
0,11,2.191239
-6,11,2.364839
0,7,2.483459
2,13,2.698071
-2,11,2.850894
1,8,2.974416
-1,4,3.041956
-3,12,3.405665
-1,8,3.555376
-4,11,3.738842
2,9,3.894585
1,10,4.045598
-1,12,4.225098
-1,12,4.413357
-2,3,4.469785
-2,11,4.648278
-7,12,4.856698
0,7,4.989762
-2,3,5.04442
0,5,5.132725
-1,10,5.285013
2,7,5.434109
-3,14,5.651922
-2,11,5.81855
-1,14,6.01009
3,8,6.15107
-4,7,6.257465
0,5,6.337155
0,9,6.465678
-2,11,6.632245
0,5,6.71489
-7,12,6.914509
-2,7,7.036523
-4,3,7.094389
-3,8,7.227064
0,3,7.286595
0,7,7.404065
-4,11,7.591772
3,12,7.773745
3,8,7.91344
-2,5,7.998784
1,6,8.098289
-1,6,8.202039
2,9,8.353407
-5,8,8.486509
-1,6,8.589865
-7,14,8.76326
-3,16,8.972692
-3,14,9.155119
-3,8,9.298372
-4,11,9.520995
0,7,9.643249
-4,7,9.7851
0,13,10.0234
0,9,10.189909
-1,14,10.421525
-1,8,10.5972
0,11,10.872732
1,6,11.013836
-1,2,11.081125
-3,14,11.399389
-8,13,11.66792
-4,5,11.806831
-3,8,12.005982
1,14,12.346613
0,5,12.466131
-5,8,12.63595
0,9,12.827807
-7,22,13.248225
1,8,13.432209
0,7,13.59642
-2,11,13.876134
0,7,14.047522
-1,6,14.197876
1,10,14.408378
-3,16,14.66856
0,7,14.795658
-2,5,14.884409
-2,9,15.057389
-4,5,15.1556
-3,4,15.230355
-1,8,15.345438
0,11,15.52611
0,7,15.638647
-1,6,15.733518
-1,8,15.872027
-5,12,16.062146
-4,13,16.290997
1,8,16.433196
-1,8,16.572385
-4,15,16.850772
0,7,16.991277
-2,9,17.173371
2,13,17.387833
-2,5,17.468332
-1,14,17.685826
3,10,17.841536
-4,7,17.974183
-1,6,18.080818
-3,10,18.207938
-4,9,18.311615
-3,16,18.540574
-2,13,18.693523
-1,10,18.869581
-2,3,18.928461
-1,8,19.04538
-2,7,19.187636
2,7,19.298141
-4,15,19.529394
-2,7,19.640186
0,9,19.796498
-2,7,19.895953
-6,19,20.134872
-1,6,20.232542
-3,4,20.302473
3,6,20.402848
0,7,20.509905
0,7,20.621704
-1,6,20.709639
-2,3,20.759835
-1,8,20.879929
-3,10,21.015377
-1,12,21.211926
-4,15,21.399909
-2,7,21.5122
-1,2,21.550236
-2,7,21.656503
1,4,21.72217
-3,6,21.822208
-3,12,21.992978
-3,18,22.237728
-4,9,22.391571
-4,9,22.542846
-1,10,22.716433
-2,13,22.902333
0,11,23.091627
-2,9,23.209729
-1,2,23.247827
1,8,23.375387
-2,5,23.454857
-1,10,23.595894
-2,13,23.753575
-3,6,23.849277
0,13,24.053466
-5,14,24.218825
-1,4,24.295434
-2,9,24.428905
-6,9,24.568321
1,4,24.634745
-1,6,24.732589
2,9,24.868276
-4,15,25.071904
-7,14,25.267868
2,9,25.405661
4,11,25.562895
-4,11,25.715239
-3,4,25.784869
-1,14,25.974676
-2,9,26.136979
-3,10,26.271109
0,5,26.347615
3,8,26.477207
-2,7,26.58262
0,5,26.659596
-2,3,26.7131
2,7,26.856411
-3,4,26.919641
-3,14,27.144154
-3,10,27.311856
1,6,27.401171
-5,14,27.618655
2,7,27.730028
1,8,27.853908
-3,6,28.016045
-1,12,28.200503
-1,4,28.264491
-2,13,28.41809
-3,8,28.524775
-1,12,28.704118
-3,6,28.796244
-1,4,28.893017
-2,7,28.988378
-2,13,29.179625
2,5,29.263976
-1,4,29.335598
-3,6,29.436293
1,8,29.563994
0,11,29.72553
-3,12,29.877769
-3,10,30.038481
-4,9,30.16389
-1,4,30.231118
-2,7,30.325807
0,9,30.465801
1,10,30.626289
2,9,30.754041
2,5,30.857204
1,10,31.008517
-5,16,31.15552
-1,6,31.251191
-3,6,31.353828
-2,7,31.462334
-4,13,31.645139
-1,4,31.709034
0,3,31.770348
1,10,31.933163
0,7,32.053259
1,10,32.204141
3,6,32.293865
-2,7,32.388359
1,8,32.512441
-2,11,32.662528
-4,11,32.849261
0,9,32.993838
-1,4,33.06338
-1,6,33.142019
2,7,33.250461
-4,9,33.39069
1,6,33.484639
-3,14,33.649302
