#{"t_start": 1589060272.3949819, "env_id": null}
r,l,t
-15,10,13.564176
-20,7,13.641955
-19,6,18.530302
-19,4,18.580736
-19,2,18.60934
-23,8,18.698036
-22,21,18.948119
-21,12,19.130302
-24,9,19.222304
-19,10,19.367898
-18,15,19.587337
-17,6,19.651656
-18,7,19.730651
-20,5,19.850282
-18,11,19.965547
-19,8,20.113517
-21,6,20.181331
-19,8,20.266405
-22,5,20.325059
-15,12,20.50053
-21,8,20.587278
-20,7,20.701675
-18,9,20.799358
-16,9,22.466668
-18,9,22.564219
-18,13,24.240079
-20,11,24.358316
-18,3,25.928132
-16,9,26.012239
-18,5,26.068997
-21,2,26.099374
-20,9,27.733359
-18,11,27.84609
-19,6,29.548104
-22,11,29.666581
-18,5,29.723361
-19,12,31.485426
-20,11,33.165002
-18,7,33.248968
-22,11,33.34757
-21,16,35.14559
-22,7,36.915326
-20,5,36.978441
-17,12,37.11033
-17,8,38.900938
-17,10,38.994729
-22,9,40.666688
-18,9,40.749278
-16,7,42.430998
-19,4,42.479516
-22,11,42.596189
-18,15,44.437773
-19,8,46.220846
-21,6,46.28744
-18,5,46.349734
-18,5,46.412263
-18,3,46.461538
-16,9,48.202017
-22,15,49.928326
-17,8,50.024401
-23,6,50.098595
-21,12,51.809829
-17,10,51.914231
-13,8,53.644116
-20,11,53.744733
-21,8,55.422114
-25,14,57.142777
-19,2,57.175473
-19,14,57.311179
-19,8,59.045513
-23,10,59.12608
-15,8,60.845557
-17,6,60.918305
-19,12,62.645988
-20,11,62.765555
-17,6,62.838625
-20,7,64.595812
-20,9,64.69471
-21,12,66.529746
-18,15,68.307748
-24,15,68.432327
-20,5,70.110054
-16,11,70.233156
-17,10,71.942245
-13,14,72.109401
-18,7,73.799274
-20,17,73.951813
-22,15,75.729255
-14,9,77.466043
-20,15,77.631924
-18,9,79.372662
-17,6,79.434128
-21,2,79.462848
-19,4,79.510684
-13,14,81.26942
-18,5,81.327039
-18,5,83.039417
-19,4,83.090689
-21,4,83.137442
-21,10,84.835175
-19,12,84.961774
-20,7,86.693497
-16,9,86.797326
-17,10,86.886035
-19,12,88.663312
-16,7,88.733604
-19,12,90.506998
-19,6,90.577637
-21,10,92.292675
-20,3,92.322295
-18,7,92.406152
-22,9,94.197738
-16,15,96.004702
-22,15,96.171787
-18,11,97.986452
-21,12,98.115844
-19,4,99.835577
-20,7,99.916752
-20,9,100.021321
-17,10,101.83267
-23,22,103.755719
-21,4,103.8029
-16,9,105.610829
-16,7,105.695503
-19,2,105.724513
-18,5,105.781445
-19,10,107.552955
-22,5,107.613583
-18,13,109.454678
-18,3,109.49274
-18,5,109.553135
-17,10,111.340738
-20,9,111.422164
-22,13,113.234199
-19,4,113.281813
-19,8,113.367096
-23,6,115.143526
-21,10,115.257867
-19,10,117.062585
-17,12,117.183796
-17,8,118.959153
-16,7,119.031386
-17,8,119.121627
-16,9,120.952826
-22,5,121.011924
-19,8,122.794263
-18,15,122.969141
-19,6,124.752593
-15,8,124.842678
-17,6,124.920549
-18,13,126.734269
-19,12,128.564991
-20,11,128.658428
-18,9,130.461131
-17,8,130.541466
-20,7,130.614359
-16,7,132.522405
-19,4,132.57617
-18,15,134.538101
-18,15,134.734251
-20,7,136.603092
-14,9,136.71372
-22,13,138.512981
-22,9,138.593904
-21,10,140.406161
-21,4,140.456368
-17,6,140.52438
-20,7,142.284592
-19,6,142.353865
-21,4,142.402385
-15,6,142.46629
-18,11,144.247868
-20,7,144.323272
-18,15,146.15627
-23,14,148.014518
-15,10,148.133945
-21,12,149.932712
-13,14,151.776194
-19,10,151.87127
-22,17,153.723186
-17,4,153.768918
-14,13,155.547622
-16,5,155.60726
-19,6,155.676668
-18,5,157.387673
-16,9,157.484414
-23,10,157.559289
-19,8,159.279323
-18,5,159.337268
-17,8,161.176883
-19,10,161.247338
-20,9,161.338176
-17,10,163.177882
-16,5,163.232498
-19,8,165.028343
-19,4,165.077879
